citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
63 FR 27655,98-13553,27657,"Supplements: EO 12866, September 30, 1993; EO 12988, February 5, 1996; Memorandum of April 29, 1994 (Government-to-Government Relations With Native American Tribal Governments);;
 ;  Revoked by: EO 13175, November 6, 2000;;
 ;  See: EO 13083, May 14, 1998",13084,https://www.federalregister.gov/documents/1998/05/19/98-13553/consultation-and-coordination-with-indian-tribal-governments,https://www.gpo.gov/fdsys/pkg/FR-1998-05-19/pdf/98-13553.pdf,5/19/98,5/14/98,27655,Consultation and Coordination With Indian Tribal Governments
63 FR 29335,98-14407,29337,NA,13085,https://www.federalregister.gov/documents/1998/05/28/98-14407/establishment-of-the-enrichment-oversight-committee,https://www.gpo.gov/fdsys/pkg/FR-1998-05-28/pdf/98-14407.pdf,5/28/98,5/26/98,29335,Establishment of the Enrichment Oversight Committee
63 FR 30065,98-14688,30095,"Amends: EO 12473, April 13, 1984;;
 ;  See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12936, November 10, 1994; EO 12960, May 12, 1995; EO 13140, October 6, 1999",13086,https://www.federalregister.gov/documents/1998/06/02/98-14688/1998-amendments-to-the-manual-for-courts-martial-united-states,https://www.gpo.gov/fdsys/pkg/FR-1998-06-02/pdf/98-14688.pdf,6/2/98,5/27/98,30065,"1998 Amendments to the Manual for Courts-Martial, United States"
63 FR 30097,98-14689,30097,"Amends: EO 11478, August 8, 1969;;
 ;  See: Proc. 7316, June 2, 2000 (65 FR 36051);;
 ;  Note: This Executive order expands equal employment policy in the Federal Government by prohibiting discrimination based on sexual orientation.",13087,https://www.federalregister.gov/documents/1998/06/02/98-14689/further-amendment-to-executive-order-11478-equal-employment-opportunity-in-the-federal-government,https://www.gpo.gov/fdsys/pkg/FR-1998-06-02/pdf/98-14689.pdf,6/2/98,5/28/98,30097,"Further Amendment to Executive Order 11478, Equal Employment Opportunity in the Federal Government"
63 FR 32109,98-15888,32111,"Amended by: EO 13121, April 30, 1999; EO 13192, January 17, 2001;;
 ;  See: Notice of May 25, 2000; Notice of May 24, 2001;;
 ;  Revoked by: EO 13304, May 28, 2003",13088,https://www.federalregister.gov/documents/1998/06/12/98-15888/blocking-property-of-the-governments-of-the-federal-republic-of-yugoslavia-serbia-and-montenegro-the,https://www.gpo.gov/fdsys/pkg/FR-1998-06-12/pdf/98-15888.pdf,6/12/98,6/9/98,32109,"Blocking Property of the Governments of the Federal Republic of Yugoslavia (Serbia and Montenegro), the Republic of Serbia, and the Republic of Montenegro, and Prohibiting New Investment in the Republic of Serbia in Response to the Situation in Kosovo"
63 FR 32701,98-16161,32703,"See: EO 13178, December 4, 2000",13089,https://www.federalregister.gov/documents/1998/06/16/98-16161/coral-reef-protection,https://www.gpo.gov/fdsys/pkg/FR-1998-06-16/pdf/98-16161.pdf,6/16/98,6/11/98,32701,Coral Reef Protection
63 FR 36151,98-17828,36152,"Amended by: EO 13136, September 3, 1999;;
 ;  Revoked by: EO 13225, September 28, 2001",13090,https://www.federalregister.gov/documents/1998/07/02/98-17828/presidents-commission-on-the-celebration-of-women-in-american-history,https://www.gpo.gov/fdsys/pkg/FR-1998-07-02/pdf/98-17828.pdf,7/2/98,6/29/98,36151,President's Commission on the Celebration of Women in American History
63 FR 36153,98-17829,36154,"Amends: EO 11958, January 18, 1977; EO 12163, September 29, 1979",13091,https://www.federalregister.gov/documents/1998/07/02/98-17829/administration-of-arms-export-controls-and-foreign-assistance,https://www.gpo.gov/fdsys/pkg/FR-1998-07-02/pdf/98-17829.pdf,7/2/98,6/29/98,36153,Administration of Arms Export Controls and Foreign Assistance
63 FR 40167,98-20315,40167,"Amends: EO 13035, February 11, 1997;;
 ;  See: EO 13200, February 11, 2001; EO 13215, May 31, 2001",13092,https://www.federalregister.gov/documents/1998/07/28/98-20315/presidents-information-technology-advisory-committee-amendments-to-executive-order-13035,https://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20315.pdf,7/28/98,7/24/98,40167,"President's Information Technology Advisory Committee, Amendments to Executive Order 13035"
63 FR 40357,98-20450,40357,"Amends: EO 13061, September 11, 1997; EO 13080, April 30, 1998",13093,https://www.federalregister.gov/documents/1998/07/29/98-20450/american-heritage-rivers-amending-executive-order-13061-and-13080,https://www.gpo.gov/fdsys/pkg/FR-1998-07-29/pdf/98-20450.pdf,7/29/98,7/27/98,40357,"American Heritage Rivers, Amending Executive Order 13061 and 13080"
63 FR 40803,98-20590,40804,"Amends: EO 12938, November 14, 1994;;
 ;  See: Notice of November 6, 2002; Notice of October 29, 2003; Notice of November 4, 2004; EO 13382, June 28, 2005; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009",13094,https://www.federalregister.gov/documents/1998/07/30/98-20590/proliferation-of-weapons-of-mass-destruction,https://www.gpo.gov/fdsys/pkg/FR-1998-07-30/pdf/98-20590.pdf,7/30/98,7/28/98,40803,Proliferation of Weapons of Mass Destruction
63 FR 42565,98-21400,42565,"Suspends: EO 13083, May 14, 1998;;
 ;  Note: Suspends Executive order dealing with new federalism provisions.;;
 ;  Revoked by: EO 13132, August 4, 1999",13095,https://www.federalregister.gov/documents/1998/08/07/98-21400/suspension-of-executive-order-13083,https://www.gpo.gov/fdsys/pkg/FR-1998-08-07/pdf/98-21400.pdf,8/7/98,8/5/98,42565,Suspension of Executive Order 13083
63 FR 42681,98-21643,42684,"See: Proc. 7246, October 30, 1999.;;
 ;  Revoked by: EO 13336, April 30, 2004",13096,https://www.federalregister.gov/documents/1998/08/11/98-21643/american-indian-and-alaska-native-education,https://www.gpo.gov/fdsys/pkg/FR-1998-08-11/pdf/98-21643.pdf,8/11/98,8/6/98,42681,American Indian and Alaska Native Education
63 FR 43065,98-21710,43065,NA,13097,https://www.federalregister.gov/documents/1998/08/11/98-21710/interparliamentary-union,https://www.gpo.gov/fdsys/pkg/FR-1998-08-11/pdf/98-21710.pdf,8/11/98,8/7/98,43065,Interparliamentary Union
63 FR 44771,98-22595,44772,"See: EO 12865, September 26, 1993; Notice of September 22, 2000; Notice of September 24, 2001; Notice of September 23, 2002 (67 FR 60105);;
 ;  Revoked by: EO 13298, May 6, 2003",13098,https://www.federalregister.gov/documents/1998/08/20/98-22595/blocking-property-of-unita-and-prohibitingcertain-transactions-with-respect-to-unita,https://www.gpo.gov/fdsys/pkg/FR-1998-08-20/pdf/98-22595.pdf,8/20/98,8/18/98,44771,Blocking Property of UNITA and ProhibitingCertain Transactions With Respect to UNITA
63 FR 45167,98-22940,45167,"Amends: EO 12947, January 23, 1995;;
 ;  See: EO 13371, February 16, 2005; Notice of January 19, 2000; Notice of January 19, 2001; Notice of January 18, 2002; Notice of January 20, 2003; Notice of January 16, 2004; Notice of January 17, 2005; Notice of January 18, 2006; Notice of January 18, 2007; Notice of January 18, 2008; Notice of January 15, 2009; Notice of January 20, 2010",13099,https://www.federalregister.gov/documents/1998/08/25/98-22940/prohibiting-transactions-with-terrorists-who-threaten-to-disrupt-the-middle-east-peace-process,https://www.gpo.gov/fdsys/pkg/FR-1998-08-25/pdf/98-22940.pdf,8/25/98,8/20/98,45167,Prohibiting Transactions With Terrorists Who Threaten To Disrupt the Middle East Peace Process
63 FR 45661,98-23258,45662,"Amended by: EO 13286, February 28, 2003",13100,https://www.federalregister.gov/documents/1998/08/27/98-23258/presidents-council-on-food-safety,https://www.gpo.gov/fdsys/pkg/FR-1998-08-27/pdf/98-23258.pdf,8/27/98,8/25/98,45661,President's Council on Food Safety
63 FR 49643,98-25023,49651,"Revokes: EO 12873, October 20, 1993;;
 ;  Revoked by: EO 13423, January 24, 2007;;
 ;  See: EO 12843, April 21, 1993; EO 12845, April 21, 1993; EO 12856, August 3, 1993; EO 12902, March 8, 1994; EO 12969, August 8, 1995; EO 13031, December 13, 1996; EO 13148, April 21, 2000; EO 13149, April 21, 2000; Proc. 7250, November 15, 1999",13101,https://www.federalregister.gov/documents/1998/09/16/98-25023/greening-the-government-through-waste-prevention-recycling-and-federal-acquisition,https://www.gpo.gov/fdsys/pkg/FR-1998-09-16/pdf/98-25023.pdf,9/16/98,9/14/98,49643,"Greening the Government Through Waste Prevention, Recycling, and Federal Acquisition"
63 FR 52125,98-26250,52125,"Amends: EO 13038, March 11, 1997;;
 ;  Note: EO 13102 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13102,https://www.federalregister.gov/documents/1998/09/29/98-26250/further-amendment-to-executive-order-13038-advisory-committee-on-public-interest-obligations-of,https://www.gpo.gov/fdsys/pkg/FR-1998-09-29/pdf/98-26250.pdf,9/29/98,9/25/98,52125,"Further Amendment to Executive Order 13038, Advisory Committee on Public Interest Obligations of Digital Television Broadcasters"
63 FR 53273,98-26799,53274,"See: EO 13011, July 16, 1996",13103,https://www.federalregister.gov/documents/1998/10/05/98-26799/computer-software-piracy,https://www.gpo.gov/fdsys/pkg/FR-1998-10-05/pdf/98-26799.pdf,10/5/98,9/30/98,53273,Computer Software Piracy
63 FR 56535,98-28471,56535,"Amends: EO 13021, October 19, 1996",13104,https://www.federalregister.gov/documents/1998/10/22/98-28471/amendment-to-executive-order-13021-tribal-colleges-and-universities,https://www.gpo.gov/fdsys/pkg/FR-1998-10-22/pdf/98-28471.pdf,10/22/98,10/19/98,56535,"Amendment to Executive Order 13021, Tribal Colleges and Universities"
63 FR 60201,98-30054,60201,NA,13105,https://www.federalregister.gov/documents/1998/11/06/98-30054/open-enrollment-season-for-participants-in-the-foreign-service-retirement-and-disability-system-and,https://www.gpo.gov/fdsys/pkg/FR-1998-11-06/pdf/98-30054.pdf,11/6/98,11/2/98,60201,Open Enrollment Season for Participants in the Foreign Service Retirement and Disability System and the Central Intelligence Agency Retirement and Disability System
63 FR 68151,98-32953,68160,"Amends: EO 12748, February 1, 1991;;
 ;  Supersedes: EO 13071, December 29, 1997;;
 ;  Superseded by: EO 13144, December 21, 1999 (in part)",13106,https://www.federalregister.gov/documents/1998/12/09/98-32953/adjustments-of-certain-rates-of-pay-and-delegation-of-a-federal-pay-administration-authority,https://www.gpo.gov/fdsys/pkg/FR-1998-12-09/pdf/98-32953.pdf,12/9/98,12/7/98,68151,Adjustments of Certain Rates of Pay and Delegation of a Federal Pay Administration Authority
63 FR 68991,98-33348,68993,NA,13107,https://www.federalregister.gov/documents/1998/12/15/98-33348/implementation-of-human-rights-treaties,https://www.gpo.gov/fdsys/pkg/FR-1998-12-15/pdf/98-33348.pdf,12/15/98,12/10/98,68991,Implementation of Human Rights Treaties
63 FR 69175,98-33382,69175,"Amends: EO 13037, March 3, 1997;;
 ;  Note: EO 13108 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999.",13108,https://www.federalregister.gov/documents/1998/12/15/98-33382/further-amendment-to-executive-order-13037-commission-to-study-capital-budgeting,https://www.gpo.gov/fdsys/pkg/FR-1998-12-15/pdf/98-33382.pdf,12/15/98,12/11/98,69175,"Further Amendment to Executive Order 13037, Commission To Study Capital Budgeting"
63 FR 70631,98-34034,70631,NA,13109,https://www.federalregister.gov/documents/1998/12/22/98-34034/half-day-closing-of-executive-departments-and-agencies-of-the-federal-government-on-thursday,https://www.gpo.gov/fdsys/pkg/FR-1998-12-22/pdf/98-34034.pdf,12/22/98,12/17/98,70631,"Half-Day Closing of Executive Departments and Agencies of the Federal Government on Thursday, December 24, 1998"
64 FR 2419,99-980,2419,NA,13110,https://www.federalregister.gov/documents/1999/01/14/99-980/nazi-war-criminal-records-interagency-working-group,https://www.gpo.gov/fdsys/pkg/FR-1999-01-14/pdf/99-980.pdf,1/14/99,1/11/99,2419,Nazi War Criminal Records Interagency Working Group
64 FR 2793,99-1185,2797,"Amended by: EO 13188, January 12, 2001; EEO 13218, June 20, 2001;;
 ;  Revoked (in part) by: EO 13316, September 17, 2003",13111,https://www.federalregister.gov/documents/1999/01/15/99-1185/using-technology-to-improve-training-opportunities-for-federal-government-employees,https://www.gpo.gov/fdsys/pkg/FR-1999-01-15/pdf/99-1185.pdf,1/15/99,1/12/99,2793,Using Technology To Improve Training Opportunities for Federal Government Employees
64 FR 6183,99-3184,6186,"Amended by: EO 13286, February 28, 2003;  EO 13751, December 5, 2016
Continued by: EO 13708, September 30, 2015
Revokes: EO 11987, May 24, 1977",13112,https://www.federalregister.gov/documents/1999/02/08/99-3184/invasive-species,https://www.gpo.gov/fdsys/pkg/FR-1999-02-08/pdf/99-3184.pdf,2/8/99,2/3/99,6183,Invasive Species
64 FR 7489,99-3832,7489,"Amends: EO 13035, February 11, 1997;;
 ;  See: EO 13200, February 11, 2001; EO 13215, May 31, 2001",13113,https://www.federalregister.gov/documents/1999/02/16/99-3832/presidents-information-technology-advisory-committee-further-amendments-to-executive-order-13035-as,https://www.gpo.gov/fdsys/pkg/FR-1999-02-16/pdf/99-3832.pdf,2/16/99,2/10/99,7489,"President's Information Technology Advisory Committee, Further Amendments to Executive Order 13035, as Amended"
64 FR 10099,99-5164,10099,"Amends: EO 12852, June 29, 1993;;
 ;  Note: EO 13114 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",13114,https://www.federalregister.gov/documents/1999/03/01/99-5164/further-amendment-to-executive-order-12852-as-amended-extending-the-presidents-council-on,https://www.gpo.gov/fdsys/pkg/FR-1999-03-01/pdf/99-5164.pdf,3/1/99,2/28/99,10099,"Further Amendment to Executive Order 12852, as Amended, Extending the President's Council on Sustainable Development"
64 FR 15283,99-7999,15284,"Amended by: EO 13138, September 30, 1999",13115,https://www.federalregister.gov/documents/1999/03/30/99-7999/interagency-task-force-on-the-roles-and-missions-of-the-united-states-coast-guard,https://www.gpo.gov/fdsys/pkg/FR-1999-03-30/pdf/99-7999.pdf,3/30/99,3/25/99,15283,Interagency Task Force on the Roles and Missions of the United States Coast Guard
64 FR 16333,99-8433,16335,NA,13116,https://www.federalregister.gov/documents/1999/04/05/99-8433/identification-of-trade-expansion-priorities-and-discriminatory-procurement-practices,https://www.gpo.gov/fdsys/pkg/FR-1999-04-05/pdf/99-8433.pdf,4/5/99,3/31/99,16333,Identification of Trade Expansion Priorities and Discriminatory Procurement Practices
64 FR 16591,99-8509,16591,"Amends: EO 12981, December 5, 1995;;
 ;  Note: This Executive order amends the administration of export controls",13117,https://www.federalregister.gov/documents/1999/04/05/99-8509/further-amendment-to-executive-order-12981-as-amended,https://www.gpo.gov/fdsys/pkg/FR-1999-04-05/pdf/99-8509.pdf,4/5/99,3/31/99,16591,"Further Amendment to Executive Order 12981, as Amended"
64 FR 16595,99-8547,16599,"Amends: EO 11223 of May 12, 1965; EO 11269 of February 14, 1966; EO 11958 of January 18, 1977; EO 12163 of September 29, 1979; EO 12188 of January 2, 1980; EO 12260 of December 31, 1980; EO 12293 of February 23, 1981; EO 12301 of March 26, 1981; EO 12703 of February 20, 1990; EO 12884 of December 1, 1993; Memorandum of March 23, 1999;;
 ;  Revokes: EO 12599 of June 23, 1987",13118,https://www.federalregister.gov/documents/1999/04/05/99-8547/implementation-of-the-foreign-affairs-reform-and-restructuring-act-of-1998,https://www.gpo.gov/fdsys/pkg/FR-1999-04-05/pdf/99-8547.pdf,4/5/99,3/31/99,16595,Implementation of the Foreign Affairs Reform and Restructuring Act of 1998
64 FR 18797,99-9738,18797,NA,13119,https://www.federalregister.gov/documents/1999/04/16/99-9738/designation-of-federal-republic-of-yugoslavia-serbiamontenegro-albania-the-airspace-above-and,https://www.gpo.gov/fdsys/pkg/FR-1999-04-16/pdf/99-9738.pdf,4/16/99,4/13/99,18797,"Designation of Federal Republic of Yugoslavia (Serbia/Montenegro), Albania, the Airspace Above, and Adjacent Waters as a Combat Zone"
64 FR 23007,99-10901,23007,"Amended by: EO 13286, February 28, 2003",13120,https://www.federalregister.gov/documents/1999/04/29/99-10901/ordering-the-selected-reserve-and-certain-individual-ready-reserve-members-of-the-armed-forces-to,https://www.gpo.gov/fdsys/pkg/FR-1999-04-29/pdf/99-10901.pdf,4/29/99,4/27/99,23007,Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty
64 FR 24021,99-11410,24022,"Amends: EO 13088, June 9, 1998;;
 ;  See: Notice of May 25, 2000; EO 13192, January 17, 2001; Notice of May 24, 2001;;
 ;  Revoked by: EO 13304, May 28, 2003",13121,https://www.federalregister.gov/documents/1999/05/05/99-11410/blocking-property-of-the-governments-of-the-federal-republic-of-yugoslavia-serbia-and-montenegro-the,https://www.gpo.gov/fdsys/pkg/FR-1999-05-05/pdf/99-11410.pdf,5/5/99,4/30/99,24021,"Blocking Property of the Governments of the Federal Republic of Yugoslavia (Serbia and Montenegro), the Republic of Serbia, and the Republic of Montenegro, and Prohibiting Trade Transactions Involving the Federal Republic of Yugoslavia (Serbia and Montenegro) in Response to the Situation in Kosovo"
64 FR 29201,99-13825,29202,"Amended by: EO 13284, January 23, 2003",13122,https://www.federalregister.gov/documents/1999/05/28/99-13825/interagency-task-force-on-the-economic-development-of-the-southwest-border,https://www.gpo.gov/fdsys/pkg/FR-1999-05-28/pdf/99-13825.pdf,5/28/99,5/25/99,29201,Interagency Task Force on the Economic Development of the Southwest Border
64 FR 30851,99-14633,30860,"Revokes: EO 12759, April 17, 1991; EO 12845, April 21, 1993; EO 12902, March 9, 1994;;
 ;  Revoked by: EO 13423, January 24, 2007;;
 ;  See: EO 13148, April 21, 2000",13123,https://www.federalregister.gov/documents/1999/06/08/99-14633/greening-the-government-through-efficient-energy-management,https://www.gpo.gov/fdsys/pkg/FR-1999-06-08/pdf/99-14633.pdf,6/8/99,6/3/99,30851,Greening the Government Through Efficient Energy Management
64 FR 31103,99-14825,31104,NA,13124,https://www.federalregister.gov/documents/1999/06/09/99-14825/amending-the-civil-service-rules-relating-to-federal-employees-with-psychiatric-disabilities,https://www.gpo.gov/fdsys/pkg/FR-1999-06-09/pdf/99-14825.pdf,6/9/99,6/4/99,31103,Amending the Civil Service Rules Relating To Federal Employees With Psychiatric Disabilities
64 FR 31105,99-14901,31107,"Amended by: EO 13216, June 6, 2001;;
 ;  Superseded by: EO 13515, October 14, 2009",13125,https://www.federalregister.gov/documents/1999/06/10/99-14901/increasing-participation-of-asian-americans-and-pacific-islanders-in-federal-programs,https://www.gpo.gov/fdsys/pkg/FR-1999-06-10/pdf/99-14901.pdf,6/10/99,6/7/99,31105,Increasing Participation of Asian Americans and Pacific Islanders in Federal Programs
64 FR 32383,99-15491,32385,NA,13126,https://www.federalregister.gov/documents/1999/06/16/99-15491/prohibition-of-acquisition-of-products-produced-by-forced-or-indentured-child-labor,https://www.gpo.gov/fdsys/pkg/FR-1999-06-16/pdf/99-15491.pdf,6/16/99,6/12/99,32383,Prohibition of Acquisition of Products Produced by Forced or Indentured Child Labor
64 FR 32793,99-15623,32793,"Amends: EO 13073, February 4, 1998",13127,https://www.federalregister.gov/documents/1999/06/17/99-15623/amendment-to-executive-order-13073-year-2000-conversion,https://www.gpo.gov/fdsys/pkg/FR-1999-06-17/pdf/99-15623.pdf,6/17/99,6/14/99,32793,"Amendment to Executive Order 13073, Year 2000 Conversion"
64 FR 34703,99-16634,34704,"Amends: EO 12938, November 14, 1994",13128,https://www.federalregister.gov/documents/1999/06/28/99-16634/implementation-of-the-chemical-weapons-convention-and-the-chemical-weapons-convention-implementation,https://www.gpo.gov/fdsys/pkg/FR-1999-06-28/pdf/99-16634.pdf,6/28/99,6/25/99,34703,Implementation of the Chemical Weapons Convention and the Chemical Weapons Convention Implementation Act
64 FR 36759,99-17444,36761,"See: EO 13268, July 2, 2002",13129,https://www.federalregister.gov/documents/1999/07/07/99-17444/blocking-property-and-prohibiting-transactions-with-the-taliban,https://www.gpo.gov/fdsys/pkg/FR-1999-07-07/pdf/99-17444.pdf,7/7/99,7/4/99,36759,Blocking Property and Prohibiting Transactions With the Taliban
64 FR 38535,99-18476,38536,"Revoked by: EO 13231, October 16, 2001;;
 ;  See: EO 13010, July 15, 1996; EO 13286, February 28, 2003",13130,https://www.federalregister.gov/documents/1999/07/19/99-18476/national-infrastructure-assurance-council,https://www.gpo.gov/fdsys/pkg/FR-1999-07-19/pdf/99-18476.pdf,7/19/99,7/14/99,38535,National Infrastructure Assurance Council
64 FR 40733,99-19396,40734,"Amends: EO 12757, March 19, 1991;;
 ;  See: EO 12823, December 3, 1992; EO 13028, December 3, 1996;;
 ;  Revoked by: EO 13345, July 8, 2004",13131,https://www.federalregister.gov/documents/1999/07/27/99-19396/further-amendments-to-executive-order-12757-implementation-of-the-enterprise-for-the-americas,https://www.gpo.gov/fdsys/pkg/FR-1999-07-27/pdf/99-19396.pdf,7/27/99,7/22/99,40733,"Further Amendments to Executive Order 12757, Implementation of the Enterprise for the Americas Initiative"
64 FR 43255,99-20729,43259,"Revokes: EO 12612, October 26, 1987; EO 12875, October 26, 1993; EO 13083, May 14, 1998; EO 13095, August 5, 1998;;
 ;  Supplements: EO 12372, July 14, 1982; EO 12866, September 30, 1993; EO 12988, February 5, 1996;;
 ;  See: EO 13175, November 6, 2000",13132,https://www.federalregister.gov/documents/1999/08/10/99-20729/federalism,https://www.gpo.gov/fdsys/pkg/FR-1999-08-10/pdf/99-20729.pdf,8/10/99,8/4/99,43255,Federalism
64 FR 43895,99-20924,43896,"Amended by: EO 13286, February 28, 2003",13133,https://www.federalregister.gov/documents/1999/08/11/99-20924/working-group-on-unlawful-conduct-on-the-internet,https://www.gpo.gov/fdsys/pkg/FR-1999-08-11/pdf/99-20924.pdf,8/11/99,8/5/99,43895,Working Group on Unlawful Conduct on the Internet
64 FR 44639,99-21392,44642,"Revoked by: EO 13225, September 28, 2001 (in part); EO 13423, January 24, 2007;;
 ;  See: EO 13148, April 21, 2000",13134,https://www.federalregister.gov/documents/1999/08/16/99-21392/developing-and-promoting-biobased-products-and-bioenergy,https://www.gpo.gov/fdsys/pkg/FR-1999-08-16/pdf/99-21392.pdf,8/16/99,8/12/99,44639,Developing and Promoting Biobased Products and Bioenergy
64 FR 47339,99-22778,47339,"Amends: EO 12216, June 18, 1980",13135,https://www.federalregister.gov/documents/1999/08/31/99-22778/amendment-to-executive-order-12216-presidents-committee-on-the-international-labor-organization,https://www.gpo.gov/fdsys/pkg/FR-1999-08-31/pdf/99-22778.pdf,8/31/99,8/27/99,47339,"Amendment to Executive Order 12216, President's Committee on the International Labor Organization"
64 FR 48931,99-23508,48931,"Amends: EO 13090, June 29, 1998",13136,https://www.federalregister.gov/documents/1999/09/08/99-23508/amendment-to-executive-order-13090-presidents-commission-on-the-celebration-of-women-in-american,https://www.gpo.gov/fdsys/pkg/FR-1999-09-08/pdf/99-23508.pdf,9/8/99,9/3/99,48931,"Amendment to Executive Order 13090, President's Commission on the Celebration of Women in American History"
64 FR 50733,99-24582,50733,"Amends: EO 12975, October 3, 1995;;
 ;  See: EO 13316, September 17, 2003",13137,https://www.federalregister.gov/documents/1999/09/20/99-24582/amendment-to-executive-order-12975-as-amended-national-bioethics-advisory-commission,https://www.gpo.gov/fdsys/pkg/FR-1999-09-20/pdf/99-24582.pdf,9/20/99,9/15/99,50733,"Amendment to Executive Order 12975, as Amended, National Bioethics Advisory Commission"
64 FR 53879,99-25958,53881,"Amends: EO 12131, May 4, 1979; EO 12345, February 2, 1982; EO 12367, June 15, 1982; EO 13115, March 25, 1999;;
 ;  Supersedes: EO 13062, September 29, 1997 (in part);;
 ;  Revokes: EO 12852, June 29, 1993; EO 12961, May 26, 1995; EO 13010, July 15, 1996, (in part); EO 13017, September 5, 1996; EO 13037, March 3, 1997; EO 13038, March 11, 1997; EO 13050, June 13, 1997;;
 ;  Superseded by: EO 13225, September 28, 2001 (in part);;
 ;  Revoked by: EO 13226, September 30, 2001 (in part)",13138,https://www.federalregister.gov/documents/1999/10/04/99-25958/continuance-of-certain-federal-advisory-committees,https://www.gpo.gov/fdsys/pkg/FR-1999-10-04/pdf/99-25958.pdf,10/4/99,9/30/99,53879,Continuance of Certain Federal Advisory Committees
64 FR 54175,99-26078,54178,"See: Food and Drug Administration rule of May 25, 1999 (64 FR 54180)",13139,https://www.federalregister.gov/documents/1999/10/05/99-26078/improving-health-protection-of-military-personnel-participating-in-particular-military-operations,https://www.gpo.gov/fdsys/pkg/FR-1999-10-05/pdf/99-26078.pdf,10/5/99,9/30/99,54175,Improving Health Protection of Military Personnel Participating in Particular Military Operations
64 FR 55115,99-26670,55123,"Amends: EO 12473, April 13, 1984;;
 ;  See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12936, November 10, 1994; EO 12960, May 12, 1995; EO 13086, May 27, 1998",13140,https://www.federalregister.gov/documents/1999/10/12/99-26670/1999-amendments-to-the-manual-for-courts-martial-united-states,https://www.gpo.gov/fdsys/pkg/FR-1999-10-12/pdf/99-26670.pdf,10/12/99,10/6/99,55115,"1999 Amendments to the Manual for Courts-Martial, United States"
64 FR 63169,99-30346,63170,NA,13141,https://www.federalregister.gov/documents/1999/11/18/99-30346/environmental-review-of-trade-agreements,https://www.gpo.gov/fdsys/pkg/FR-1999-11-18/pdf/99-30346.pdf,11/18/99,11/16/99,63169,Environmental Review of Trade Agreements
64 FR 66089,99-30687,66090,"Amends: EO 12958, April 17, 1995",13142,https://www.federalregister.gov/documents/1999/11/23/99-30687/amendment-to-executive-order-12958classified-national-security-information,https://www.gpo.gov/fdsys/pkg/FR-1999-11-23/pdf/99-30687.pdf,11/23/99,11/19/99,66089,Amendment To Executive Order 12958Classified National Security Information
64 FR 68273,99-31748,68273,"Amends: EO 10173, October 18, 1950",13143,https://www.federalregister.gov/documents/1999/12/06/99-31748/amending-executive-order-10173-as-amended-prescribing-regulations-relating-to-the-safeguarding-of,https://www.gpo.gov/fdsys/pkg/FR-1999-12-06/pdf/99-31748.pdf,12/6/99,12/1/99,68273,"Amending Executive Order 10173, as Amended, Prescribing Regulations Relating to the Safeguarding of Vessels, Harbors, Ports, and Waterfront Facilities of the United States"
64 FR 72237,99-33511,72247,"Supersedes: EO 13106, December 7, 1998 (in part);;
 ;  Superseded by: EO 13182, December 23, 2000",13144,https://www.federalregister.gov/documents/1999/12/23/99-33511/adjustments-of-certain-rates-of-pay,https://www.gpo.gov/fdsys/pkg/FR-1999-12-23/pdf/99-33511.pdf,12/23/99,12/21/99,72237,Adjustments of Certain Rates of Pay
65 FR 6877,00-3331,6880,NA,13145,https://www.federalregister.gov/documents/2000/02/10/00-3331/to-prohibit-discrimination-in-federal-employment-based-on-genetic-information,https://www.gpo.gov/fdsys/pkg/FR-2000-02-10/pdf/00-3331.pdf,2/10/00,2/8/00,6875,To Prohibit Discrimination in Federal Employment Based on Genetic Information
65 FR 11201,00-5209,11202,NA,13146,https://www.federalregister.gov/documents/2000/03/02/00-5209/presidents-council-on-the-future-of-princeville-north-carolina,https://www.gpo.gov/fdsys/pkg/FR-2000-03-02/pdf/00-5209.pdf,3/2/00,2/29/00,11201,"President's Council on the Future of Princeville, North Carolina"
65 FR 13233,00-6126,13234,"Amended by: EO 13167, September 15, 2000;;
 ;  Revoked by: EO 13316, September 17, 2003",13147,https://www.federalregister.gov/documents/2000/03/10/00-6126/white-house-commission-on-complementary-and-alternative-medicine-policy,https://www.gpo.gov/fdsys/pkg/FR-2000-03-10/pdf/00-6126.pdf,3/10/00,3/7/00,13231,White House Commission on Complementary and Alternative Medicine Policy
